tmp,nontmp,real_label,predict_label,predict
P55989,P56474,1,0,0.69074935
P05556,P55980,1,0,0.68391883
O25847,P94846,1,0,0.66305786
P55989,P94846,0,0,0.6326052
P94851,O25687,1,0,0.6166328
P55989,P56040,0,0,0.6131872
P05556,P56040,0,0,0.592417
P56427,O25841,1,0,0.57987785
P55989,P56185,1,0,0.5600729
O25847,P56076,0,0,0.544343
P94851,P56076,1,0,0.5341322
O25987,P56004,0,0,0.5119935
O25987,P56040,0,0,0.5047217
P94851,P56143,0,0,0.50128233
P05556,P56143,0,0,0.456586
O25396,P55980,1,0,0.4172598
O25396,P56474,1,0,0.4039523
O25755,P56145,1,0,0.40395114
O25987,P56076,0,0,0.40189725
P56427,P55974,0,0,0.39290273
P56416,P56474,0,0,0.37514174
O25987,P56143,1,0,0.37070903
Q59465,O25533,1,0,0.36115348
Q59465,O25294,0,0,0.35338885
O25396,P94846,0,0,0.34316158
P55981,P55969,1,0,0.31265694
P56416,P56004,0,0,0.3049163
Q59465,P56076,0,0,0.30312008
P55981,P94846,0,0,0.29501128
O25832,P56474,0,0,0.29301894
P55981,P56040,1,0,0.2781102
O25832,P56145,1,0,0.27230427
O25396,P56157,0,0,0.27129233
O25396,P56422,1,0,0.23450485
P55981,P56157,1,0,0.22969478
P55981,P56007,1,0,0.18364075
O25578,O25011,1,0,0.17520887
P56416,P55974,1,0,0.16965136
P55981,P55974,1,0,0.15592474
O25857,P56145,0,0,0.13535362
O06758,P56157,0,0,0.098822355
O26074,P56004,1,0,0.09203231
Q09068,O25294,1,0,0.08760506
O06758,O24874,1,0,0.08625829
O25879,O25841,0,0,0.0843198
O26074,O25011,0,0,0.08092439
O25879,O25011,0,0,0.07452801
O25857,P56422,1,0,0.0726797
O26074,O24874,0,0,0.061563373
O25879,P56076,0,0,0.056046516
O25879,P56143,1,0,0.04947716
O25879,P55974,0,0,0.041389942
