tmp,nontmp,real_label,predict_label,predict
Q28181,P12931,0,0,0.9974736
Q86UP2,P04150,0,0,0.99682546
P09619,P01023,0,0,0.9954127
Q28181,P09038,0,0,0.9952721
Q86UP2,P08476,0,0,0.99517083
Q86UP2,Q14164,1,0,0.99494743
O14514,Q9HC29,0,0,0.9945631
Q86UP2,Q6NZI2,0,0,0.9944965
Q28181,Q9Y4K3,0,0,0.9943316
P51805,Q96EP0,0,0,0.9940438
Q86UP2,O75925,0,0,0.99401504
P36888,Q9BQ06,0,0,0.99350303
P04626,P14625,1,0,0.99294186
Q3UHD1,Q14185,1,0,0.9923288
O14514,Q9BYX4,0,0,0.9911059
P23468,Q4JIM5,0,0,0.99090445
Q14432,Q9Y6D5,1,0,0.98990726
Q9NVH0,P38398,1,0,0.9896329
Q14432,Q9Y6D6,1,0,0.9896133
O60500,Q9BQ06,0,0,0.98944956
P20333,Q9BQ06,1,0,0.98853767
Q86UP2,O14657,0,0,0.98850095
P05067,P01023,1,0,0.98836315
Q92896,Q00653,1,0,0.98824
O55005,P14625,0,0,0.98764825
P09619,P19174,1,0,0.9875333
Q9Y6N7,P98171,1,0,0.9866257
P01730,Q9Y6D5,0,0,0.9839128
Q86UP2,P60880,0,0,0.98364085
Q03518,Q9C000,0,0,0.9836252
Q9H6L5,Q4ACU6,0,0,0.98356277
P51805,P16749,1,0,0.98349
Q9UL51,Q4ACU6,1,0,0.98307335
Q9H6L5,Q12756,1,0,0.9829362
Q9Y6N7,O94813,1,0,0.98166597
Q28181,P62158,1,0,0.98158866
P97798,P33176,0,0,0.98143107
P19235,Q9Y6D6,0,0,0.9811983
P31785,Q9BQ06,0,0,0.9793087
P11362,P19174,1,0,0.9792284
O14522,P40763,1,0,0.97887135
Q15303,Q12815,1,0,0.9780927
P37023,P38398,0,0,0.97804654
P19438,Q9BQ06,1,0,0.9779439
P00533,Q07889,1,0,0.97740173
Q9Y6N7,Q9R1B9,1,0,0.97696495
Q9Y2A7,Q7L576,1,0,0.9769025
Q13873,P98171,0,0,0.97673464
P09619,P42229,1,0,0.9766414
P00533,Q13596,1,0,0.97655284
P23634,Q99933,0,0,0.97641695
Q9Y2A7,Q5SQX6,1,0,0.97636366
P35916,P49767,1,0,0.97630847
O14522,P16749,0,0,0.97613657
P52583,Q00653,0,0,0.976048
P12830,Q4JIM5,1,0,0.9757522
P13612,Q14191,0,0,0.97560376
P36888,Q6GQQ9,0,0,0.97542864
P06213,P02768,0,0,0.9754015
P03372,O15164,1,0,0.97515357
O60462,Q96EP0,0,0,0.9750354
P21802,P19174,1,0,0.9747995
P35916,Q93034,0,0,0.9747883
O14514,Q92556,1,0,0.9747484
Q14392,Q96JG6,0,0,0.9744334
P09619,P20936,1,0,0.97405005
Q04912,P26927,1,0,0.97394335
P35916,P97953,1,0,0.9735181
P35968,P49767,1,0,0.97328246
Q8IU57,O15164,0,0,0.9731154
P03372,P29474,1,0,0.97284746
P97798,P19659,0,0,0.972754
P04626,Q93034,1,0,0.97238004
P21709,O15357,1,0,0.9721582
O75460,Q13438,1,0,0.97203934
P25942,Q96EP0,0,0,0.9713906
Q3UHD1,P07823,0,0,0.97130156
