tmp,nontmp,real_label,predict_label,predict
P29465,P34216,0,0,0.9823849
P33338,P34216,1,0,0.9794854
P11710,P41832,1,0,0.97420216
Q12116,P41832,0,0,0.96209145
P33338,P38249,1,0,0.9588394
Q03640,P38737,0,0,0.9587727
P04821,P14771,1,0,0.95674205
P32660,P14771,0,0,0.9542469
P33338,P15891,1,0,0.94833946
P38297,P35817,0,0,0.9454967
P38745,P04050,0,0,0.9419047
P12866,P35845,0,0,0.94122505
P53756,P13186,0,0,0.9378573
P36956,P19659,1,0,0.93755984
P23501,P34216,0,0,0.93716085
Q06538,P39730,1,0,0.93711746
P53049,Q12176,1,0,0.9365783
P40075,P37297,1,0,0.9336898
P40890,Q03834,0,0,0.9322681
P04821,P40450,1,0,0.9314501
P53756,P21268,0,0,0.9288291
Q04228,P53858,0,0,0.9283833
P48231,P43639,1,0,0.9264341
P38717,P35817,0,0,0.92576754
P40438,P40991,0,0,0.9246538
P40075,P35845,1,0,0.9237137
P40476,P37297,0,0,0.9231829
Q03640,Q08729,0,0,0.92083406
Q03707,P53599,0,0,0.92066765
P40970,P30822,1,0,0.9178481
P38703,P37297,0,0,0.9170841
P40989,Q08224,0,0,0.91670066
P29465,P34226,1,0,0.91574776
P33338,P48562,1,0,0.91493464
P38695,Q12329,0,0,0.9148221
P48231,P21691,0,0,0.91455877
P32319,Q01560,1,0,0.9140229
P23501,Q12176,0,0,0.9121827
P38329,P30822,1,0,0.9114927
P53878,Q12451,0,0,0.91101295
P43564,P36224,0,0,0.9100013
P39928,P53622,1,0,0.90926445
P38631,P38883,0,0,0.9086926
Q03640,Q00776,0,0,0.90439343
P40970,P38708,1,0,0.9033337
Q03714,P36775,1,0,0.90239555
P40075,Q12451,1,0,0.9017041
Q12691,P15938,0,0,0.9016731
P38085,P30822,1,0,0.9014255
P48231,P38699,0,0,0.8996066
P53253,Q12267,1,0,0.89798236
P33296,P39985,1,0,0.8952973
P32843,P34250,0,0,0.89523697
P29465,Q12080,0,0,0.8946295
Q07549,P07276,0,0,0.8943137
P38770,P49687,1,0,0.89406896
Q03640,P53036,0,0,0.89325327
P43564,Q02979,1,0,0.8927515
P80667,P35845,1,0,0.8926486
P28791,P32790,0,0,0.8924998
Q12675,Q04751,0,0,0.8921499
Q03640,P39946,0,0,0.8920665
P52924,Q12176,0,0,0.8919966
P04821,P02829,1,0,0.8919562
P40970,P38737,1,0,0.8910605
P38329,P15891,0,0,0.8908994
P27809,P38249,0,0,0.89057565
P53878,P40991,0,0,0.88996065
Q02776,P53741,0,0,0.88802516
P14180,P53252,0,0,0.88746935
Q02776,P47050,0,0,0.88708776
P43564,P06781,0,0,0.8855941
P13181,Q03497,0,0,0.88514256
P53756,P53292,0,0,0.8850436
P33338,P53933,1,0,0.88453126
P38085,P38708,1,0,0.8843742
Q12675,P00546,1,0,0.88293225
P36046,P16387,0,0,0.88284504
P33338,P39743,1,0,0.88204396
Q03640,Q00684,0,0,0.8818164
Q08234,P39944,0,0,0.88178957
Q04370,P22137,1,0,0.88069046
P32486,P32790,1,0,0.87968576
P53288,Q12136,1,0,0.87902343
Q12466,P34221,1,0,0.87883365
P39928,P34730,1,0,0.87870085
Q03944,P22137,1,0,0.8786183
Q03707,Q12349,1,0,0.87816656
Q08215,P07276,1,0,0.8779947
P38695,Q07457,0,0,0.8778908
P40890,P38700,0,0,0.87786055
P53756,P53046,0,0,0.87698126
P53918,Q12136,1,0,0.876842
P43564,P40582,0,0,0.87679166
Q03281,Q02821,1,0,0.8766508
Q03824,P05453,0,0,0.87604684
P39928,P29311,1,0,0.8755723
P29465,P22696,0,0,0.87553716
P33338,Q12518,1,0,0.87448716
P40970,P40069,1,0,0.8744656
P36148,Q08224,0,0,0.8734186
P28795,Q07896,1,0,0.87306595
P38114,P40303,0,0,0.87274504
P41800,Q03834,1,0,0.872501
P32660,P53739,1,0,0.8721316
Q04629,P39985,0,0,0.87191355
Q03944,P53252,1,0,0.8718036
P04821,P29295,1,0,0.8707908
P37267,P40991,0,0,0.8698753
P36148,P33322,0,0,0.869665
Q12063,P46970,1,0,0.8695797
P36046,Q14061,1,0,0.86953115
Q02776,P00175,1,0,0.86876416
P04821,P38615,1,0,0.8676071
Q03640,O94086,0,0,0.8671729
