tmp,nontmp,real_label,predict_label,predict
P52101,P0AAN3,1,0,0.7800666
P30855,P64451,1,0,0.765966
P45800,P61320,1,0,0.74212205
P11557,P0ACD4,1,0,0.7223667
P02930,P31223,1,0,0.6892976
P02919,P0ABS1,1,0,0.687176
P25662,P07015,1,0,0.6864676
P45800,P31134,1,0,0.68585646
P06136,P06137,1,0,0.6839033
P29131,P06137,1,0,0.6826132
P30855,P45531,1,0,0.6689519
P77173,P06137,1,0,0.65957314
P02919,P0A698,1,0,0.6326163
P33341,P28630,1,0,0.6124105
P26607,P07027,1,0,0.61224264
P24184,P28630,1,0,0.61056805
P14376,P17579,1,0,0.6023699
P52005,P39903,1,0,0.5924424
P0A910,P31473,1,0,0.58908534
P64429,P0A898,1,0,0.58900034
P23842,P0AAN3,1,0,0.58662933
P30855,P30854,1,0,0.5779364
P02919,P0A870,1,0,0.5761708
P02929,P68066,1,0,0.57564366
P43671,P09160,1,0,0.5738138
P0ADY1,P61320,1,0,0.5658382
P69739,P08622,1,0,0.55824673
P38106,P0AFX9,1,0,0.5581231
P06996,P31473,1,0,0.5561991
P0ADQ7,P0AGM5,1,0,0.5537799
P0ADQ7,P33136,1,0,0.5412779
P13518,P08193,1,0,0.54010403
P0ADQ7,P08622,1,0,0.5381265
P77335,P0AAB6,1,0,0.53602105
P26607,P15716,1,0,0.53466415
P75830,P28630,1,0,0.5342592
P0A940,P76403,1,0,0.5260665
P32701,P0A8M3,1,0,0.52447766
P02929,P02937,1,0,0.52343994
P22763,P45803,1,0,0.52335984
P0AGC7,P0A7M2,1,0,0.5232193
P30130,P31697,1,0,0.5219087
P52101,P0AFU4,1,0,0.52158254
P30855,P03815,1,0,0.52097666
P64499,P0A867,1,0,0.51681757
P02919,P0ACF0,1,0,0.51633906
P0A940,P0A937,1,0,0.5139733
P0ABC7,P62707,1,0,0.51390994
P27434,P0AFL3,1,0,0.5127305
P0AG14,P08622,1,0,0.5070854
P06996,P77717,1,0,0.5047614
P17315,P0AG59,1,0,0.50423414
P0A910,P0ADA3,1,0,0.5002486
