tmp,nontmp,real_label,predict_label,predict
Q86UP2,Q14164,1,0,0.99494743
P04626,P14625,1,0,0.99294186
Q3UHD1,Q14185,1,0,0.9923288
Q14432,Q9Y6D5,1,0,0.98990726
Q9NVH0,P38398,1,0,0.9896329
Q14432,Q9Y6D6,1,0,0.9896133
P20333,Q9BQ06,1,0,0.98853767
P05067,P01023,1,0,0.98836315
Q92896,Q00653,1,0,0.98824
P09619,P19174,1,0,0.9875333
Q9Y6N7,P98171,1,0,0.9866257
P51805,P16749,1,0,0.98349
Q9UL51,Q4ACU6,1,0,0.98307335
Q9H6L5,Q12756,1,0,0.9829362
Q9Y6N7,O94813,1,0,0.98166597
Q28181,P62158,1,0,0.98158866
P11362,P19174,1,0,0.9792284
O14522,P40763,1,0,0.97887135
Q15303,Q12815,1,0,0.9780927
P19438,Q9BQ06,1,0,0.9779439
P00533,Q07889,1,0,0.97740173
Q9Y6N7,Q9R1B9,1,0,0.97696495
Q9Y2A7,Q7L576,1,0,0.9769025
P09619,P42229,1,0,0.9766414
P00533,Q13596,1,0,0.97655284
Q9Y2A7,Q5SQX6,1,0,0.97636366
P35916,P49767,1,0,0.97630847
P12830,Q4JIM5,1,0,0.9757522
P03372,O15164,1,0,0.97515357
P21802,P19174,1,0,0.9747995
O14514,Q92556,1,0,0.9747484
P09619,P20936,1,0,0.97405005
Q04912,P26927,1,0,0.97394335
P35916,P97953,1,0,0.9735181
P35968,P49767,1,0,0.97328246
P03372,P29474,1,0,0.97284746
P04626,Q93034,1,0,0.97238004
P21709,O15357,1,0,0.9721582
O75460,Q13438,1,0,0.97203934
Q9NVH0,Q99708,1,0,0.97123134
P03372,Q61026,1,0,0.9711931
P06213,P81122,1,0,0.97071886
Q16891,Q9NRI5,1,0,0.9702804
Q3UHD1,Q92556,1,0,0.96997327
Q9HCN6,Q15811,1,0,0.9698441
P04626,Q13882,1,0,0.9698292
P00533,O14964,1,0,0.9698012
P03372,Q15596,1,0,0.9690801
P09619,P27986,1,0,0.9689914
P50284,Q6GQQ9,1,0,0.9685746
P42167,Q14191,1,0,0.9681875
Q92859,O95631,1,0,0.9680785
O60741,Q4ACU6,1,0,0.9677999
Q08345,P02461,1,0,0.96627915
O75056,Q13009,1,0,0.96625876
P21860,P27986,1,0,0.9660245
O14522,P49023,1,0,0.9649907
Q8IWY9,O95257,1,0,0.96498466
P18827,Q13009,1,0,0.96488476
P03372,Q6PL18,1,0,0.9644817
Q8IWY9,P24522,1,0,0.9640808
Q92859,Q9HB63,1,0,0.9639906
P40189,P29597,1,0,0.9633465
Q8IWY9,P12004,1,0,0.96309364
P00533,Q9UKV8,1,0,0.9625685
P28223,Q7Z6G8,1,0,0.96254337
Q62799,Q9UQ80,1,0,0.96161026
P09619,Q9NRA1,1,0,0.9609504
Q9UM73,P21246,1,0,0.9608078
O55005,Q8TEY7,1,0,0.9601526
P03372,Q13105,1,0,0.95986694
Q9C0A0,Q13009,1,0,0.9593327
P09619,P01127,1,0,0.9590399
P97798,Q6NW40,1,0,0.958938
Q9Y6N7,O75044,1,0,0.95888877
Q9H6L5,Q07021,1,0,0.9587918
P00533,P29353,1,0,0.95699215
P78536,O15530,1,0,0.9569578
Q7Z434,Q91WS2,1,0,0.95661545
O60242,Q8CFR0,1,0,0.95597816
P08069,P81122,1,0,0.9559665
P35968,Q9MYV3,1,0,0.95452654
P32927,P42336,1,0,0.95406544
P29317,O15357,1,0,0.9537642
Q9H0H0,P19387,1,0,0.95375216
P35968,P15692,1,0,0.95373964
Q12772,Q96RN5,1,0,0.95361865
Q15303,Q96J02,1,0,0.95355344
P78536,P12931,1,0,0.9532478
Q9Y6N7,Q8TEY7,1,0,0.9529551
P06213,Q06124,1,0,0.9528337
Q3ZCQ8,Q5SQX6,1,0,0.9525167
Q15303,Q13895,1,0,0.95225346
Q12879,P29475,1,0,0.9516735
P06213,P35568,1,0,0.9515822
P03372,Q96AQ6,1,0,0.95149326
P54763,Q13009,1,0,0.95122373
P04626,P07900,1,0,0.9507532
P03372,Q05086,1,0,0.9505621
P12830,Q13625,1,0,0.9505045
P35968,P52584,1,0,0.95026636
P06127,Q00839,1,0,0.95002675
Q8IZJ1,O95631,1,0,0.94739974
P17948,P49763,1,0,0.94731754
Q61091,P22692,1,0,0.9470546
P22607,P55075,1,0,0.94670343
P11362,P55075,1,0,0.94670016
P00533,Q13191,1,0,0.94650465
P08575,P06239,1,0,0.9464605
P00533,P22681,1,0,0.94617975
P06213,P29353,1,0,0.9460386
P25942,B2RUR8,1,0,0.9459436
P43146,O95631,1,0,0.94586045
P23468,O43312,1,0,0.94508326
P36956,Q96RN5,1,0,0.9449163
Q9H6L5,P19367,1,0,0.9448
Q14114,P30533,1,0,0.94463634
P51810,Q99LI8,1,0,0.94435453
P36956,Q924H2,1,0,0.94421196
P21802,P11487,1,0,0.9441178
Q9P1Z3,Q4ACU6,1,0,0.9440584
Q9GZU1,Q01968,1,0,0.9439714
P22607,P12034,1,0,0.94361234
P11362,P12034,1,0,0.9436089
Q8IY34,Q9HC29,1,0,0.9428215
P17181,P29597,1,0,0.9427867
P34741,Q13009,1,0,0.94253826
P05106,Q04205,1,0,0.9423282
P22607,P09038,1,0,0.94231987
P11362,P09038,1,0,0.9423164
P03372,P12931,1,0,0.94201744
P03372,Q6PGF3,1,0,0.941975
P00533,Q6NZI2,1,0,0.94108194
P06213,Q13322,1,0,0.94030744
Q9H6L5,O94760,1,0,0.94013923
Q9H6L5,Q96MW7,1,0,0.9400126
O60242,Q9ESN4,1,0,0.93972766
O75460,P20029,1,0,0.9396572
P01375,Q96EP0,1,0,0.939317
P43146,Q9HB63,1,0,0.93910635
P35918,P15692,1,0,0.9390869
Q13635,P14635,1,0,0.93881124
P17861,Q16665,1,0,0.93875265
Q96MS0,Q99435,1,0,0.93836427
P03372,Q9Y6X2,1,0,0.937893
O75460,P11021,1,0,0.9376023
P36956,P19659,1,0,0.93755984
P06213,P26045,1,0,0.9375112
Q8IU57,P23458,1,0,0.93727213
P31431,Q13009,1,0,0.9371073
O95185,O95631,1,0,0.936853
Q13635,P21146,1,0,0.9361858
Q9NR96,Q99755,1,0,0.9353342
Q12772,Q15648,1,0,0.93498933
Q61115,Q96EY1,1,0,0.93490493
P16615,Q5SQX6,1,0,0.93465465
Q13635,P25098,1,0,0.934016
P03372,P10589,1,0,0.9330059
P07333,Q6ZMJ4,1,0,0.9324561
P11362,O95750,1,0,0.9323542
Q9UBG0,P02454,1,0,0.93191874
P22455,P09038,1,0,0.9311856
P03372,P00523,1,0,0.9311129
P25445,Q9UER7,1,0,0.9310311
P12830,Q9UHB6,1,0,0.931026
P03372,Q8VCD5,1,0,0.93063664
P21802,P09038,1,0,0.9305754
P08069,Q06124,1,0,0.9297228
P08588,P49407,1,0,0.9296631
P06213,P27986,1,0,0.92914903
P12830,Q9H8V3,1,0,0.92882264
P06213,Q1XH17,1,0,0.92865384
P04626,P62988,1,0,0.9285419
P06213,Q14449,1,0,0.9284148
P36956,Q9CW03,1,0,0.9276649
Q61851,Q9GZV9,1,0,0.92698455
P21802,P31371,1,0,0.92670995
P25445,P19174,1,0,0.92643034
Q7Z434,Q96P20,1,0,0.9257976
P11362,Q9GZV9,1,0,0.92568815
P16092,Q9GZV9,1,0,0.9253671
P14784,P23458,1,0,0.92461437
P00533,Q9UJM3,1,0,0.923494
P05067,A4D1B5,1,0,0.9233446
P36956,Q15648,1,0,0.9230736
P01730,Q14005,1,0,0.9230393
P06213,P18031,1,0,0.9221153
P09619,P62988,1,0,0.92144716
P06213,P01317,1,0,0.9212487
P17948,P15692,1,0,0.92029595
P43146,P55211,1,0,0.91992253
P08069,P29353,1,0,0.9198781
P22455,O95750,1,0,0.9194654
P40189,P23458,1,0,0.9191921
Q13507,Q80UE6,1,0,0.91894245
P15260,P42224,1,0,0.9182971
Q86Y82,Q96JG6,1,0,0.9182142
Q9H5V8,P12931,1,0,0.9180633
P08069,P35570,1,0,0.9178787
P13569,O14745,1,0,0.91746855
P34971,Q99961,1,0,0.91731286
P16234,Q9NRA1,1,0,0.91680205
P06213,Q99418,1,0,0.91596836
P36941,Q13114,1,0,0.9159357
Q9NVH0,P49959,1,0,0.91584176
P12830,P24385,1,0,0.9154644
Q61730,P51617,1,0,0.9152281
Q9ULT6,Q2MKA7,1,0,0.91446173
Q14392,P01137,1,0,0.9144585
P40189,Q06124,1,0,0.91427886
Q13873,Q62356,1,0,0.91423404
Q96HS1,Q99683,1,0,0.91384065
P27040,P22004,1,0,0.9135313
P04629,O75385,1,0,0.91350615
P22607,P08620,1,0,0.91347873
P03372,Q92731,1,0,0.9132504
O43752,Q96JG6,1,0,0.91313076
P16234,P01127,1,0,0.91292727
P02786,P02787,1,0,0.91247404
P12830,P35221,1,0,0.912355
P17813,P02750,1,0,0.9120986
Q03142,Q9GZV9,1,0,0.9117378
Q7Z434,Q9BYX4,1,0,0.91164666
P24643,P30101,1,0,0.91162556
Q86WV6,O95786,1,0,0.9114324
B0BLW3,Q2MKA7,1,0,0.9110373
Q03167,P01137,1,0,0.91055536
P06127,Q8NEB9,1,0,0.9103651
Q9Y2A7,Q9Y6W5,1,0,0.9090396
Q8CII8,P33176,1,0,0.90901566
Q9J3M8,P14735,1,0,0.90836847
P04629,Q13501,1,0,0.9079853
P03372,P27986,1,0,0.90793234
P35462,P53618,1,0,0.9072583
P31785,P52333,1,0,0.90661836
P20333,Q12933,1,0,0.90651274
P01130,Q8NBP7,1,0,0.90600765
P06213,P01308,1,0,0.905954
P14778,P51617,1,0,0.90572083
O14662,Q96JG6,1,0,0.905517
P10415,Q9C000,1,0,0.90454906
P07949,P56159,1,0,0.90442324
P10912,Q62120,1,0,0.9042251
Q07817,Q9C000,1,0,0.90339804
Q5JTV8,Q9H497,1,0,0.90300333
P09619,P62993,1,0,0.9028135
Q13507,P05480,1,0,0.90274817
Q9UBV2,Q13438,1,0,0.9026943
O75460,P05132,1,0,0.90253985
P03372,P30681,1,0,0.9023836
P22607,P05230,1,0,0.90140295
P11362,P05230,1,0,0.9013972
Q9BXM7,O60260,1,0,0.90029424
Q13873,P12643,1,0,0.90027535
P01375,Q924T7,1,0,0.8998283
P32927,P04141,1,0,0.8997824
Q9BXM7,Q12931,1,0,0.89944464
P03372,P07155,1,0,0.89905995
P49768,Q9UQB3,1,0,0.8989048
P21803,O15520,1,0,0.8984034
P40189,Q62689,1,0,0.89756227
Q16620,P04150,1,0,0.897022
P03372,O75925,1,0,0.8968854
