tmp,nontmp,real_label,predict_label,predict
P52800,P02563,1,0,0.9928085
Q3UHD1,Q14185,1,0,0.9923288
P35917,Q99NH2,1,0,0.98746145
P35918,Q68FD5,1,0,0.9865968
Q9UL51,Q4ACU6,1,0,0.98307335
P35918,Q99NH2,1,0,0.98103774
Q9Y6N7,Q9R1B9,1,0,0.97696495
Q9Y2A7,Q5SQX6,1,0,0.97636366
P12830,Q4JIM5,1,0,0.9757522
P15209,Q60610,1,0,0.9747244
P35916,P97953,1,0,0.9735181
P09581,P05480,1,0,0.9733614
P03372,Q61026,1,0,0.9711931
P06213,P81122,1,0,0.97071886
P35917,P98078,1,0,0.97063375
Q3UHD1,Q92556,1,0,0.96997327
P50284,B2RUR8,1,0,0.96970606
P50284,Q6GQQ9,1,0,0.9685746
P15209,Q62077,1,0,0.96818185
O60741,Q4ACU6,1,0,0.9677999
Q3UHD1,Q8BPU7,1,0,0.96665335
Q61091,P47877,1,0,0.95908284
P97798,Q6NW40,1,0,0.958938
P15208,P05480,1,0,0.95849514
Q7Z434,Q91WS2,1,0,0.95661545
O60242,Q8CFR0,1,0,0.95597816
P35918,P98078,1,0,0.9559734
P08069,P81122,1,0,0.9559665
Q8CAQ8,Q811T9,1,0,0.9549804
Q8VIM0,Q9Z1R2,1,0,0.95395255
P47741,Q2TBA3,1,0,0.9536255
Q3ZCQ8,Q5SQX6,1,0,0.9525167
P54763,Q13009,1,0,0.95122373
P27512,B2RUR8,1,0,0.95094645
Q61851,P37237,1,0,0.95083535
Q9R244,P05480,1,0,0.9492714
P23242,Q9Z2V6,1,0,0.949198
Q3TB92,P97573,1,0,0.94906425
Q61712,P70168,1,0,0.94839406
Q61091,P47879,1,0,0.947297
Q61091,P22692,1,0,0.9470546
P25942,B2RUR8,1,0,0.9459436
P51810,Q99LI8,1,0,0.94435453
P36956,Q924H2,1,0,0.94421196
Q9P1Z3,Q4ACU6,1,0,0.9440584
Q61091,P47876,1,0,0.9438261
P23242,P39447,1,0,0.9429093
P03372,Q6PGF3,1,0,0.941975
P15209,Q99LI8,1,0,0.9417082
Q61851,P54130,1,0,0.9414346
P16092,P54130,1,0,0.94011664
O60242,Q9ESN4,1,0,0.93972766
O75460,P20029,1,0,0.9396572
P29533,P26043,1,0,0.93947506
Q61727,P42227,1,0,0.9393075
P35918,P15692,1,0,0.9390869
Q61146,P39447,1,0,0.93899137
Q3UFB7,Q9QY01,1,0,0.93562615
P15208,P31750,1,0,0.93526363
P50284,Q60803,1,0,0.93524647
Q61115,Q96EY1,1,0,0.93490493
Q61091,P47880,1,0,0.93475795
P16615,Q5SQX6,1,0,0.93465465
O35305,P25911,1,0,0.93391895
P23242,Q6NZM9,1,0,0.933823
O08722,Q9JI33,1,0,0.9333823
P52800,P11442,1,0,0.9330443
P15208,Q1XH17,1,0,0.9312103
P16092,Q9JJN1,1,0,0.9307624
P03372,Q8VCD5,1,0,0.93063664
O88689,Q99LI8,1,0,0.92888415
P06213,Q1XH17,1,0,0.92865384
P36956,Q9CW03,1,0,0.9276649
Q61851,Q9GZV9,1,0,0.92698455
P52795,P42227,1,0,0.92639565
P52194,Q9DAN1,1,0,0.9255472
P52795,P52631,1,0,0.925421
P16092,Q9GZV9,1,0,0.9253671
P16882,P42227,1,0,0.9240501
Q3UFB7,O70405,1,0,0.9239627
Q8BX10,O35099,1,0,0.92320657
P70211,Q9JI33,1,0,0.92191744
P50284,P39429,1,0,0.92088836
Q6PHU5,Q9EQH3,1,0,0.9198381
Q3UFB7,Q64337,1,0,0.9196408
Q13507,Q80UE6,1,0,0.91894245
Q03142,Q9JJN1,1,0,0.9180309
P34971,Q99961,1,0,0.91731286
Q9ES83,Q9CWR0,1,0,0.9169654
P97484,P35235,1,0,0.9165546
P19941,Q62120,1,0,0.91645896
Q61730,P51617,1,0,0.9152281
Q13873,Q62356,1,0,0.91423404
P35969,Q00731,1,0,0.9138581
Q9JIS7,P62157,1,0,0.9137782
P27040,P22004,1,0,0.9135313
P47741,Q8CIS0,1,0,0.9135252
Q80VJ8,Q8C0V1,1,0,0.9133588
O35451,P20029,1,0,0.91318893
O54890,P05480,1,0,0.9121955
Q03142,Q9GZV9,1,0,0.9117378
Q9QX29,P05480,1,0,0.9103352
P41413,Q9Z1W4,1,0,0.91011
Q8CII8,P33176,1,0,0.90901566
Q61091,P27467,1,0,0.9085455
P48356,Q62120,1,0,0.9084783
P15209,Q9QYY0,1,0,0.9081367
P47741,O88351,1,0,0.90805006
P15379,P26043,1,0,0.90648925
P97484,P29351,1,0,0.906255
Q61143,P05480,1,0,0.90612996
P50284,O08863,1,0,0.90578717
P23242,Q9JHD1,1,0,0.90573406
P16872,P52332,1,0,0.90522367
P52800,Q99NH2,1,0,0.9051948
Q9D666,Q8C0V1,1,0,0.9044367
P10912,Q62120,1,0,0.9042251
Q8VEM8,Q9QZH6,1,0,0.9041543
P16310,P98083,1,0,0.9041193
Q6UJY2,Q8C0T9,1,0,0.90321296
Q13507,P05480,1,0,0.90274817
O75460,P05132,1,0,0.90253985
P03372,P30681,1,0,0.9023836
P01375,Q924T7,1,0,0.8998283
P03372,P07155,1,0,0.89905995
P21803,O15520,1,0,0.8984034
Q3UFB7,P70196,1,0,0.8979592
Q9WU38,Q8CFI0,1,0,0.8976028
P27512,Q60803,1,0,0.8974055
