tmp,nontmp,real_label,predict_label,predict
P33338,P34216,1,0,0.9794854
P11710,P41832,1,0,0.97420216
P33338,P38249,1,0,0.9588394
P04821,P14771,1,0,0.95674205
P33338,P15891,1,0,0.94833946
P36956,P19659,1,0,0.93755984
Q06538,P39730,1,0,0.93711746
P53049,Q12176,1,0,0.9365783
P40075,P37297,1,0,0.9336898
P04821,P40450,1,0,0.9314501
P48231,P43639,1,0,0.9264341
P40075,P35845,1,0,0.9237137
P40970,P30822,1,0,0.9178481
P29465,P34226,1,0,0.91574776
P33338,P48562,1,0,0.91493464
P32319,Q01560,1,0,0.9140229
P38329,P30822,1,0,0.9114927
P39928,P53622,1,0,0.90926445
P40970,P38708,1,0,0.9033337
Q03714,P36775,1,0,0.9023956
P40075,Q12451,1,0,0.9017041
P38085,P30822,1,0,0.9014255
P53253,Q12267,1,0,0.89798236
P33296,P39985,1,0,0.8952973
P38770,P49687,1,0,0.89406896
P43564,Q02979,1,0,0.8927515
P80667,P35845,1,0,0.8926486
P04821,P02829,1,0,0.8919562
P40970,P38737,1,0,0.8910605
P33338,P53933,1,0,0.88453126
P38085,P38708,1,0,0.8843742
Q12675,P00546,1,0,0.88293225
P33338,P39743,1,0,0.88204396
Q04370,P22137,1,0,0.88069046
P32486,P32790,1,0,0.87968576
P53288,Q12136,1,0,0.87902343
Q12466,P34221,1,0,0.87883365
P39928,P34730,1,0,0.87870085
Q03944,P22137,1,0,0.8786183
Q03707,Q12349,1,0,0.87816656
Q08215,P07276,1,0,0.8779947
P53918,Q12136,1,0,0.876842
Q03281,Q02821,1,0,0.8766508
P39928,P29311,1,0,0.8755723
P33338,Q12518,1,0,0.87448716
P40970,P40069,1,0,0.8744656
P28795,Q07896,1,0,0.87306595
P41800,Q03834,1,0,0.872501
P32660,P53739,1,0,0.8721316
Q03944,P53252,1,0,0.8718036
P04821,P29295,1,0,0.8707908
Q12063,P46970,1,0,0.8695797
P36046,Q14061,1,0,0.86953115
Q02776,P00175,1,0,0.86876416
P04821,P38615,1,0,0.8676071
P33338,P60010,1,0,0.8662746
P33338,P53188,1,0,0.86610377
P40989,P06780,1,0,0.8658203
P39004,P15891,1,0,0.8653196
P53842,P04050,1,0,0.86506414
P38631,P06780,1,0,0.86479497
P04821,P10592,1,0,0.86405075
P39928,P39743,1,0,0.86043066
Q03648,P40856,1,0,0.85890824
P40550,Q03973,1,0,0.85712993
P39928,P15992,1,0,0.85684466
Q06668,Q08224,1,0,0.8565091
P32900,P50111,1,0,0.855538
P32900,P05739,1,0,0.85466754
P25045,Q06344,1,0,0.85320866
P40075,P53252,1,0,0.8525033
P41800,P25847,1,0,0.8522506
P38310,P40069,1,0,0.851412
P38085,P40069,1,0,0.8507805
P43564,P14904,1,0,0.8507135
P16547,P41811,1,0,0.8500786
Q03707,Q02821,1,0,0.85007477
Q06668,P40069,1,0,0.8498246
P39928,Q03940,1,0,0.848812
P38085,Q12329,1,0,0.8476398
P04840,P40856,1,0,0.84739476
P33338,P02568,1,0,0.8469957
Q06668,Q06490,1,0,0.84223664
P38881,P39968,1,0,0.8405476
P13587,Q12136,1,0,0.83975965
Q03944,P53917,1,0,0.8396972
Q06668,Q08975,1,0,0.83956146
P34237,P06777,1,0,0.839293
P36046,P20604,1,0,0.83906436
P04821,P10591,1,0,0.8390558
P39685,P47042,1,0,0.8385782
Q05787,P06777,1,0,0.8384586
Q12241,Q08951,1,0,0.83740425
P38825,Q12415,1,0,0.83579683
P22214,Q12451,1,0,0.834745
P47186,P40971,1,0,0.8335913
Q03640,Q12379,1,0,0.8332035
Q08234,P53976,1,0,0.8328941
P40075,P21957,1,0,0.8319474
P39928,P07342,1,0,0.83181715
P07213,P16451,1,0,0.8308846
Q04958,P32337,1,0,0.8304223
P32900,Q07457,1,0,0.82898426
P39010,Q12280,1,0,0.8287473
P11710,P24583,1,0,0.8278658
P04821,P20604,1,0,0.82727015
Q04370,Q07418,1,0,0.82609737
P38130,P32790,1,0,0.82461333
Q08234,P32796,1,0,0.8241365
Q03697,P11972,1,0,0.8240683
P04821,P38217,1,0,0.8235587
Q08023,Q05515,1,0,0.82279193
P39685,P52593,1,0,0.8227285
P13134,P47113,1,0,0.8225914
P36148,P41811,1,0,0.82238984
P32319,Q03063,1,0,0.8221468
P28795,Q07418,1,0,0.82137775
P50078,P24583,1,0,0.82042736
P38825,P11484,1,0,0.81991947
P40970,P39993,1,0,0.8189441
P36046,P87108,1,0,0.8177099
P38695,P20604,1,0,0.81719977
Q12275,P53550,1,0,0.8171338
P23641,P40856,1,0,0.8168242
Q04947,P03588,1,0,0.81671095
P33338,P39940,1,0,0.8166998
Q03824,P38112,1,0,0.81585646
Q12063,P40069,1,0,0.8132776
P49573,P41811,1,0,0.813117
Q03824,Q07418,1,0,0.81237555
Q08144,P11972,1,0,0.8118769
P47069,P32562,1,0,0.8116551
P38428,P53009,1,0,0.81135905
P25385,P32790,1,0,0.81074786
P38225,Q12136,1,0,0.8098388
P41544,P32790,1,0,0.80958337
P04821,P09435,1,0,0.8094288
P53049,P31383,1,0,0.80940545
P42838,P46970,1,0,0.8093679
P40970,P34730,1,0,0.80917436
P11710,P40450,1,0,0.8080808
Q04228,P61864,1,0,0.8068433
P38631,Q03103,1,0,0.80601096
P32843,P53335,1,0,0.8059256
P04821,P38321,1,0,0.805717
P25297,P40991,1,0,0.80571234
P40970,P14742,1,0,0.80526555
P32486,P13186,1,0,0.8052615
P40970,P29311,1,0,0.8046516
P33767,P53620,1,0,0.80447626
P04821,P01120,1,0,0.80388284
Q03944,P04385,1,0,0.8029121
P41800,P20967,1,0,0.80174625
P39004,Q12236,1,0,0.8011652
P14359,P32790,1,0,0.80089474
P39003,P06839,1,0,0.8006637
P33338,Q12134,1,0,0.8004993
Q12142,P38431,1,0,0.80046034
P39685,Q03790,1,0,0.7996273
P12684,Q12469,1,0,0.79931176
Q12466,P38316,1,0,0.79928577
P32867,Q12451,1,0,0.7990228
P33767,P24583,1,0,0.79878384
Q12489,P43619,1,0,0.7987057
P36044,P46677,1,0,0.79828465
P04821,Q12216,1,0,0.79721135
Q03648,P46673,1,0,0.79693687
Q03944,Q12230,1,0,0.7966933
P38631,Q99299,1,0,0.7954448
P32486,P04147,1,0,0.7941768
Q99271,P38748,1,0,0.7940248
P21560,P46673,1,0,0.7936237
Q12270,P32790,1,0,0.79361165
P38297,P34162,1,0,0.79345584
Q06148,P12954,1,0,0.7933152
P38717,P06782,1,0,0.7920977
P04821,P53733,1,0,0.79184407
P39010,P32917,1,0,0.79118526
P04840,Q04437,1,0,0.7911464
P11710,Q12280,1,0,0.79092085
P07213,P08468,1,0,0.79078376
P25619,Q12136,1,0,0.78913915
P43536,P30822,1,0,0.7886504
