tmp,nontmp,real_label,predict_label,predict
Q6ZMQ8,Q9UKX2,0,0,0.999135
Q14028,Q9P260,0,0,0.99903667
Q5JRA6,Q13772,0,0,0.9989834
Q92859,Q9Y623,0,0,0.9987453
Q9Y6N7,Q08378,0,0,0.99859333
P06213,Q9Y2K3,0,0,0.9980482
A6NMS7,O75335,0,0,0.9979296
Q9NZ53,P29400,0,0,0.99790394
A6BM72,Q9Y2K3,0,0,0.99787843
Q9C091,Q2PPJ7,0,0,0.99786913
Q8TDY8,Q9HAU5,0,0,0.99763733
Q96JN2,Q8N3E9,0,0,0.99757564
A6QL63,Q9BXX2,0,0,0.9973235
A9Z1Z3,Q96Q06,0,0,0.99714094
P54753,P13535,0,0,0.9971087
Q15155,Q8N9V7,0,0,0.9969314
Q96EP9,P12883,0,0,0.9968138
A6NM11,P10074,0,0,0.9967042
P56817,Q8IZL8,0,0,0.9966986
Q4G1C9,Q69YN4,0,0,0.9966909
O43889,P11055,0,0,0.9966335
O15031,Q8N612,0,0,0.99661124
Q04912,Q2V2M9,0,0,0.9962822
Q7L8C5,Q9UPS6,0,0,0.9962015
Q8IWU2,Q9ULK4,0,0,0.99583423
P07333,O75147,0,0,0.9956354
Q9UIW2,O60343,0,0,0.99556327
A6NM11,Q96D71,0,0,0.9953723
Q96DC7,Q9H3S7,0,0,0.99508214
Q08828,P39059,0,0,0.9949805
Q66K14,Q3SYG4,0,0,0.9949612
O94759,Q96MT7,0,0,0.99490786
Q9NQS3,Q9UKX3,0,0,0.9949024
Q9Y6X5,P11137,0,0,0.99476874
Q16799,Q6ZWJ8,0,0,0.9947599
O60840,O75127,0,0,0.99465233
Q49A17,O95153,0,0,0.99459827
Q9P241,Q8NG66,0,0,0.99457633
A6NM11,P0DPF6,0,0,0.9943855
Q3SXY7,O43432,0,0,0.9943109
O60423,Q9HAP2,0,0,0.994179
O94966,O60333,0,0,0.9940543
Q9Y5E1,Q460N5,0,0,0.99395657
P01833,Q5SRE5,0,0,0.99390125
Q14DG7,Q14692,0,0,0.99357235
P26715,Q562E7,0,0,0.99356973
Q9UPX0,Q9UPY3,0,0,0.99346113
Q6Q0C1,Q9UKX2,0,0,0.99342823
P33897,Q15746,0,0,0.9933902
Q6IEE7,Q13045,0,0,0.9931489
Q9UN66,O95248,0,0,0.99306893
Q9BV35,Q04637,0,0,0.9930607
A9Z1Z3,O94812,0,0,0.99284655
O94956,Q9ULI4,0,0,0.9928008
Q5VWK5,P13535,0,0,0.9923439
Q5H8A4,P21675,0,0,0.9920995
Q96D42,Q9Y2K3,0,0,0.99196136
P20702,Q460N5,0,0,0.9919331
O14788,Q5VYK3,0,0,0.99185663
Q96JN2,P49758,0,0,0.99185133
O60840,O15397,0,0,0.9918225
Q6ZMB5,Q460N5,0,0,0.9916618
Q6NSJ5,Q6R2W3,0,0,0.9915943
Q96JN2,P0CG43,0,0,0.99133325
Q9Y5S1,Q9BWT7,0,0,0.9911618
P32297,H7BZ55,0,0,0.9911307
Q9Y426,Q14146,0,0,0.9910259
Q92952,Q6ZU35,0,0,0.9909417
O75129,Q5VTT5,0,0,0.990907
Q13370,Q7Z6P3,0,0,0.99087965
Q9Y2H6,P39880,0,0,0.9908566
Q96R47,P51532,0,0,0.9908049
Q7Z388,Q15075,0,0,0.9907213
Q99572,Q9ULI4,0,0,0.99068856
P16410,P35579,0,0,0.9905576
P25100,O15054,0,0,0.99052906
P78357,P20908,0,0,0.9904723
Q6ZU64,Q8N806,0,0,0.99044394
Q8IWY9,Q86V15,0,0,0.99042565
Q0P670,P20908,0,0,0.99041706
Q86UP2,A0A087WSZ9,0,0,0.9903184
Q96D53,P21675,0,0,0.99023914
A8MYU2,P20908,0,0,0.9901931
Q96H72,Q01955,0,0,0.9900676
Q6UXM1,A8K2U0,0,0,0.9900607
B7U540,Q9P1Z9,0,0,0.99002457
Q9P241,Q96BJ3,0,0,0.9898419
Q3T906,Q9ULE4,0,0,0.98978317
Q6YBV0,P53420,0,0,0.9897684
Q9H5J4,Q9P1Z9,0,0,0.9897152
Q9ULH0,Q9NYF5,0,0,0.9896969
Q9Y4D7,Q8IXR9,0,0,0.98953855
Q9Y666,Q0VF96,0,0,0.98951936
Q96PE1,P48740,0,0,0.98945594
Q13563,Q5VYS8,0,0,0.98943985
Q8NEW7,Q7RTU9,0,0,0.98932767
Q8NEN9,Q05193,0,0,0.98929226
Q14028,Q16763,0,0,0.9892449
Q99518,Q01955,0,0,0.9892063
Q8IU68,Q9Y4B6,0,0,0.98920214
Q69YW2,Q8IZL8,0,0,0.9890559
Q16720,Q9UPN4,0,0,0.9889488
Q9ULQ1,Q9P1V8,0,0,0.9887382
Q14392,Q9ULE4,0,0,0.9886664
P16442,O94986,0,0,0.9886305
Q9BYG8,Q8TDY2,0,0,0.98858094
Q9BSA4,Q9HAW4,0,0,0.9885422
Q5JPE7,Q8IWE5,0,0,0.9885297
Q13061,Q8NDI1,0,0,0.98849285
P06127,O15054,0,0,0.9884417
A8MWY0,Q9NS15,0,0,0.98832476
P41180,O75150,0,0,0.98829615
Q9BZD2,Q13029,0,0,0.9882096
Q6UXG2,Q9H2M9,0,0,0.98819053
Q6UXD5,Q5SYB0,0,0,0.98818594
Q9ULD8,Q7L014,0,0,0.98809034
Q8TC41,O75064,0,0,0.98799956
Q86UP2,Q14697,0,0,0.9877323
Q9NUB4,Q13129,0,0,0.98757124
Q9UN67,O14981,0,0,0.9875626
Q96KN9,O14981,0,0,0.98743343
A0A096LPK9,O95153,0,0,0.9874003
Q9Y5I4,D6RIA3,0,0,0.98739505
O75264,O15015,0,0,0.9872445
Q9P2C4,Q5VV67,0,0,0.98716533
Q9BWV1,O60306,0,0,0.98711973
Q8NH73,P48681,0,0,0.98707914
Q6IEE7,Q4KMP7,0,0,0.98703766
P16066,Q5RHP9,0,0,0.98700935
Q10469,O15069,0,0,0.9869875
Q6ZT12,Q13868,0,0,0.98689514
Q92667,Q6WKZ4,0,0,0.98675334
Q9Y6F6,Q86XJ1,0,0,0.9865249
Q9H013,Q6ZUA9,0,0,0.9864336
Q9HD23,Q9Y238,0,0,0.9860162
O15031,Q99704,0,0,0.9859433
Q03518,Q9Y4D1,0,0,0.98592544
Q96Q04,O75912,0,0,0.9858527
A6NM11,Q8IV20,0,0,0.9856278
Q66K14,Q8NFZ5,0,0,0.98560333
P52849,Q99666,0,0,0.9855723
Q9ULD8,Q15477,0,0,0.98555493
O43889,Q96HA7,0,0,0.9854068
Q4ZG55,O00622,0,0,0.98527664
Q9P241,Q5GJ75,0,0,0.9851545
Q5GH73,Q86U86,0,0,0.9851147
Q9Y4D7,B9A064,0,0,0.98507714
Q96FT7,Q8IWV7,0,0,0.9850744
Q96PE1,Q13642,0,0,0.98497975
Q96DC7,Q8IYY4,0,0,0.98486817
Q9P2E7,O43156,0,0,0.9848187
P09619,O94842,0,0,0.984707
Q03167,P0C0L4,0,0,0.98460674
O95202,Q9UJC3,0,0,0.984313
Q9HAW9,Q9BVV6,0,0,0.9842908
O00533,Q9H6S0,0,0,0.98392934
Q8IWA4,P49796,0,0,0.9838375
Q9NS62,Q9H6N6,0,0,0.9838066
P51170,Q9H7P9,0,0,0.9837364
Q9Y4D2,Q5KSL6,0,0,0.9834635
Q9NS68,Q00722,0,0,0.9833901
Q9Y5G1,O00411,0,0,0.9833533
Q9UL19,Q9UPV0,0,0,0.9831711
Q13948,Q5VT97,0,0,0.9831156
O60241,Q8IXT2,0,0,0.9830457
Q9HCE9,Q68BL7,0,0,0.9828646
Q6ZU64,P31152,0,0,0.9828565
Q13444,Q96T21,0,0,0.98275816
Q9HBI6,Q9UKA4,0,0,0.982694
Q9UKP6,Q9Y5S2,0,0,0.982597
O14638,Q8TBY8,0,0,0.9825667
